"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Loran, Disciple of History","W","U","75303","3.98","15549","5.13","62495","66.1%","54.3%","10174","51.5%","16656","55.2%","26830","53.8%","35651","54.7%","-0.9pp"
"Machine Over Matter","U","C","316085","7.18","45286","9.91","131109","46.6%","57.5%","21551","55.8%","36895","59.5%","58446","58.1%","72253","57.0%","1.2pp"
"Mask of the Jadecrafter","G","U","64668","3.37","21637","3.97","115455","85.7%","56.4%","20577","57.2%","30257","58.4%","50834","57.9%","64525","55.1%","2.8pp"
"Mass Production","W","U","105649","6.15","13937","8.92","29418","34.4%","54.4%","4351","52.7%","7351","55.0%","11702","54.2%","17701","54.6%","-0.5pp"
"Mazemind Tome","","R","7612","1.93","4016","2.10","23724","95.0%","56.3%","4285","57.1%","6495","58.9%","10780","58.2%","12900","54.7%","3.5pp"
"Mechanized Warfare","R","R","19723","3.44","4237","4.05","13562","53.6%","52.8%","2268","49.6%","3487","51.0%","5755","50.4%","7799","54.5%","-4.1pp"
"Mesmeric Orb","","M","10078","4.49","1567","6.17","2024","21.5%","53.2%","376","","561","59.7%","937","57.5%","1082","49.4%","8.2pp"
"Meticulous Excavation","W","U","122490","8.25","15047","11.84","6053","6.5%","50.4%","939","43.8%","1664","51.7%","2603","48.9%","3444","51.4%","-2.6pp"
"Mightstone's Animation","U","C","277975","5.89","60485","7.42","235566","62.4%","57.0%","39006","56.6%","70074","58.7%","109080","58.0%","125752","56.1%","1.8pp"
"Military Discipline","W","C","330826","8.24","48491","11.07","98127","32.3%","57.8%","15506","57.0%","23582","56.5%","39088","56.7%","59003","58.5%","-1.8pp"
"Millstone","","U","124070","7.99","12455","11.96","3470","4.6%","46.4%","595","40.3%","1010","51.1%","1605","47.1%","1849","45.6%","1.5pp"
"Mind's Eye","","M","5086","2.37","1399","2.62","5895","71.6%","52.0%","1000","47.6%","1548","51.0%","2548","49.7%","3340","53.7%","-4.0pp"
"Mine Worker","","C","305405","6.50","34875","9.74","73360","34.6%","52.8%","13515","53.0%","18678","51.7%","32193","52.3%","39369","52.9%","-0.6pp"
"Misery's Shadow","B","R","8540","1.46","6432","1.45","36502","89.9%","57.8%","6550","64.7%","10248","62.0%","16798","63.1%","19655","53.2%","9.8pp"
"Mishra's Bauble","","U","57788","3.63","16275","4.71","88345","88.1%","56.1%","15777","56.0%","23448","56.2%","39225","56.1%","49003","56.1%","0.0pp"
"Mishra's Command","R","R","10782","1.88","6672","1.87","36914","88.3%","57.0%","6254","57.3%","9756","60.9%","16010","59.5%","20873","55.1%","4.4pp"
"Mishra's Domination","R","C","336979","9.13","38280","12.88","18818","8.0%","52.7%","3039","50.7%","4510","50.2%","7549","50.4%","11252","54.2%","-3.8pp"
"Mishra's Foundry","","R","17511","2.82","3867","3.39","18283","78.7%","53.6%","3149","51.1%","4672","52.8%","7821","52.1%","10403","54.6%","-2.5pp"
