"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Crime // Punishment","WBG","M","14098","3.89","2885","4.99","10306","60.7%","52.5%","1596","52.8%","2621","55.3%","4217","54.4%","6036","51.3%","3.1pp"
"Cruel Ultimatum","UBR","R","33099","4.55","7535","5.43","24093","53.0%","54.3%","3822","55.7%","6975","64.2%","10797","61.2%","13023","48.1%","13.1pp"
"Decimate","RG","R","44909","6.42","5042","9.98","1243","4.1%","47.1%","187","","305","","492","","750","50.0%",""
"Decisive Denial","UG","U","171036","6.35","23304","9.22","57431","41.5%","52.3%","9201","50.4%","14765","55.5%","23966","53.5%","32929","51.2%","2.4pp"
"Detention Sphere","WU","R","31284","4.10","6154","5.30","23629","64.8%","52.3%","3863","52.0%","6516","56.6%","10379","54.9%","13170","50.1%","4.8pp"
"Endless Detour","WUG","R","47466","6.39","6289","9.51","5683","14.8%","53.4%","941","53.7%","1494","56.9%","2435","55.6%","3215","51.5%","4.2pp"
"Fractured Identity","WU","M","7518","2.24","4269","2.23","23762","90.7%","56.2%","3893","59.5%","6548","64.9%","10441","62.9%","13160","50.7%","12.1pp"
"Hindering Light","WU","U","184028","7.53","21109","11.07","17689","14.1%","48.0%","2838","45.5%","4808","50.9%","7646","48.9%","10002","47.2%","1.7pp"
"Humiliate","WB","U","177804","6.81","26436","9.54","59393","37.3%","55.1%","9977","57.6%","14971","57.8%","24948","57.7%","34391","53.2%","4.6pp"
"Hypothesizzle","UR","U","155147","5.65","24941","7.75","82152","56.1%","51.2%","13105","50.5%","22579","55.0%","35684","53.3%","46181","49.4%","3.9pp"
"Ionize","UR","R","40554","5.49","5605","8.03","12636","38.1%","51.4%","2087","50.4%","3625","57.5%","5712","54.9%","6869","48.2%","6.7pp"
"Oko, Thief of Crowns","UG","M","4324","1.34","3601","1.33","21257","94.2%","56.9%","3822","64.6%","5454","63.9%","9276","64.2%","11802","51.0%","13.2pp"
