"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Stormchaser's Talent","U","R","9544","3.16","2416","3.54","9734","69.2%","53.9%","1753","56.7%","2794","59.0%","4547","58.1%","5073","50.0%","8.1pp"
"Sugar Coat","U","U","37415","4.80","6480","6.47","26311","70.6%","53.0%","4377","52.1%","7351","56.0%","11728","54.6%","14369","51.8%","2.8pp"
"Thought Shucker","U","C","121441","7.44","14681","10.69","21448","25.3%","50.9%","3778","47.2%","5762","54.4%","9540","51.6%","11840","50.2%","1.3pp"
"Thundertrap Trainer","U","R","10292","3.22","2489","3.79","10076","70.0%","54.1%","1907","55.9%","2776","60.1%","4683","58.4%","5378","50.4%","8.0pp"
"Valley Floodcaller","U","R","8360","2.72","2399","2.93","10471","77.5%","52.2%","1837","52.2%","3002","55.2%","4839","54.0%","5618","50.5%","3.5pp"
"Waterspout Warden","U","C","121494","7.32","14713","10.50","24431","28.9%","51.2%","4167","49.3%","6581","52.6%","10748","51.3%","13691","51.2%","0.1pp"
"Wishing Well","U","R","18005","5.43","2286","8.22","1070","8.0%","50.9%","181","","312","","493","","563","50.4%",""
"Agate-Blade Assassin","B","C","104680","5.65","15668","7.96","60667","65.4%","55.0%","11115","56.3%","13201","54.5%","24316","55.3%","36000","54.7%","0.7pp"
"Bandit's Talent","B","U","35879","4.71","4878","6.79","15040","52.5%","53.4%","2644","49.7%","3664","56.8%","6308","53.8%","8617","52.9%","0.9pp"
"Bonebind Orator","B","C","106255","5.54","19127","7.56","84932","75.2%","55.9%","14827","55.8%","19459","56.0%","34286","55.9%","50357","55.8%","0.1pp"
"Bonecache Overseer","B","U","41788","5.39","7777","7.00","25651","55.9%","56.2%","4580","57.7%","5974","56.5%","10554","57.0%","14954","55.4%","1.6pp"
