"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Slimefoot's Survey","G","U","152876","6.64","16896","9.96","24835","28.0%","53.4%","4151","51.0%","6450","54.9%","10601","53.4%","14004","53.4%","-0.1pp"
"Smash to Dust","R","C","458246","8.61","46629","12.58","12352","5.0%","51.7%","2068","48.7%","3156","51.4%","5224","50.3%","7064","52.7%","-2.4pp"
"Snarespinner","G","C","449273","7.79","44181","11.63","52818","22.7%","53.6%","9450","52.0%","12903","53.6%","22353","52.9%","30127","54.1%","-1.1pp"
"Soaring Drake","U","C","389749","5.72","59903","8.16","225247","71.1%","55.0%","39557","54.5%","64132","55.6%","103689","55.2%","119628","54.9%","0.2pp"
"Sol'kanar the Tainted","UBR","M","7553","1.88","4330","1.81","18257","77.9%","57.2%","3023","59.3%","5503","63.4%","8526","62.0%","9257","52.3%","9.6pp"
"Soul of Windgrace","BRG","M","7064","1.72","3886","1.67","15938","79.1%","55.1%","2583","54.9%","4255","59.2%","6838","57.5%","8807","52.9%","4.6pp"
"Sphinx of Clear Skies","U","M","5450","1.28","4692","1.27","24740","93.2%","59.3%","4253","65.4%","7345","65.2%","11598","65.3%","12500","53.3%","12.0pp"
"Splatter Goblin","B","C","403600","6.00","55996","8.61","201596","68.3%","55.3%","35756","56.2%","52979","55.3%","88735","55.7%","111853","55.0%","0.6pp"
"Sprouting Goblin","R","U","93343","3.65","26912","4.27","118847","81.6%","58.0%","21312","59.6%","28811","59.7%","50123","59.7%","67926","56.7%","3.0pp"
"Squee, Dubious Monarch","R","R","13371","1.62","8299","1.59","41513","90.1%","60.2%","7299","67.1%","10483","63.4%","17782","64.9%","23422","56.6%","8.3pp"
"Stall for Time","W","C","416520","6.41","57941","9.15","136437","44.8%","55.1%","23057","52.0%","37105","57.1%","60162","55.1%","75247","55.0%","0.1pp"
"Stenn, Paranoid Partisan","WU","R","40035","4.66","5812","6.53","10389","34.2%","53.4%","1798","54.3%","2894","52.6%","4692","53.2%","5651","53.5%","-0.3pp"
"Strength of the Coalition","G","U","124339","4.93","22241","6.51","75952","64.7%","56.6%","12676","55.6%","18235","58.3%","30911","57.2%","43705","55.9%","1.3pp"
"Stronghold Arena","B","R","31604","3.72","5137","4.71","12867","49.4%","51.9%","2232","49.4%","3342","50.8%","5574","50.3%","7217","53.1%","-2.9pp"
"Sulfurous Springs","","R","37736","3.92","5564","5.52","18900","64.0%","55.6%","3476","55.6%","4671","54.4%","8147","54.9%","10629","56.3%","-1.3pp"
"Sunbathing Rootwalla","G","C","351364","4.95","69876","6.58","321468","85.9%","56.6%","57560","57.3%","79450","57.2%","137010","57.2%","181538","56.2%","1.1pp"
"Sunlit Marsh","","C","340878","4.47","70341","6.19","342608","91.0%","56.3%","61892","57.6%","87606","55.4%","149498","56.3%","185413","56.2%","0.1pp"
"Tail Swipe","G","U","83477","3.16","23603","3.77","109287","87.0%","57.0%","18249","56.6%","27298","59.4%","45547","58.3%","59387","55.5%","2.8pp"
"Take Up the Shield","W","C","370484","5.23","69341","6.98","288193","77.1%","58.6%","48226","59.0%","73069","60.2%","121295","59.7%","165683","57.8%","1.9pp"
"Talas Lookout","U","C","309632","4.37","76353","5.57","356731","86.2%","56.8%","60601","56.9%","105912","58.6%","166513","58.0%","185655","55.7%","2.3pp"
"Tangled Islet","","C","342831","4.63","76848","6.20","367480","89.0%","56.2%","67439","57.7%","93658","56.0%","161097","56.7%","197004","55.8%","0.9pp"
"Tattered Apparition","B","C","442892","7.63","42627","11.56","43794","19.6%","52.9%","7396","49.6%","11798","54.0%","19194","52.3%","24267","53.2%","-0.9pp"
"Tatyova, Steward of Tides","UG","U","77186","3.17","28493","3.44","132098","86.0%","57.3%","22253","57.7%","36113","63.0%","58366","61.0%","70433","53.7%","7.3pp"
"Tear Asunder","G","U","77509","3.04","25822","3.50","121058","87.7%","56.6%","20855","56.0%","32922","60.9%","53777","59.0%","65045","54.4%","4.6pp"
"Temporal Firestorm","R","R","16145","1.97","8888","1.88","38562","80.2%","57.0%","6487","57.4%","10740","60.9%","17227","59.6%","20798","54.7%","4.9pp"
"Temporary Lockdown","W","R","37202","4.41","4277","6.50","3353","15.1%","50.9%","567","45.0%","905","51.7%","1472","49.1%","1863","52.5%","-3.4pp"
"Territorial Maro","G","U","84220","3.33","26063","3.86","121198","86.8%","57.0%","20364","57.8%","32317","59.9%","52681","59.1%","66156","55.2%","4.0pp"
"The Cruelty of Gix","B","R","12662","1.52","9041","1.50","43800","90.1%","57.1%","7384","59.3%","12584","62.1%","19968","61.1%","23098","53.5%","7.6pp"
"The Elder Dragon War","R","R","12558","1.52","8972","1.48","44268","89.2%","59.2%","7884","63.6%","11635","63.8%","19519","63.7%","24186","55.3%","8.4pp"
