"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Invasion of Muraganda","G","U","139096","4.58","18688","6.51","70848","64.1%","52.2%","11002","50.0%","16598","51.8%","27600","51.1%","41217","52.7%","-1.6pp"
"Invasion of New Capenna","WB","U","161079","5.61","19987","8.13","47745","40.5%","50.7%","7627","47.6%","11371","52.4%","18998","50.5%","28434","50.7%","-0.2pp"
"Invasion of New Phyrexia","WU","M","6277","1.38","5077","1.35","28468","89.9%","57.7%","4772","61.2%","7145","64.7%","11917","63.3%","16263","53.2%","10.1pp"
"Invasion of Pyrulea","UG","U","170910","6.06","26665","8.35","78429","49.1%","53.4%","13206","54.3%","19730","54.7%","32936","54.6%","43281","52.3%","2.3pp"
"Invasion of Ravnica","","M","6501","1.42","4516","1.40","25656","94.6%","54.2%","4179","52.0%","6593","56.3%","10772","54.6%","14556","53.5%","1.1pp"
"Invasion of Regatha","R","U","127924","4.20","20297","5.72","80590","67.0%","53.2%","13531","52.8%","19097","54.9%","32628","54.0%","47208","52.5%","1.5pp"
"Invasion of Segovia","U","R","19588","2.13","10815","2.15","57210","86.4%","56.3%","10215","59.2%","14742","57.8%","24957","58.4%","31944","54.6%","3.8pp"
"Invasion of Shandalar","G","M","10425","2.34","2872","2.52","10783","64.7%","50.5%","1573","45.1%","2699","51.7%","4272","49.3%","6246","50.9%","-1.7pp"
"Invasion of Tarkir","R","M","8121","1.85","4521","1.82","22845","83.0%","56.2%","4127","61.2%","5459","59.5%","9586","60.2%","12993","52.9%","7.3pp"
"Invasion of Theros","W","R","45349","4.71","5579","6.97","5509","16.4%","50.3%","918","47.3%","1277","50.0%","2195","48.9%","3299","51.2%","-2.3pp"
"Invasion of Tolvada","WB","R","18492","2.10","9055","2.05","41820","77.2%","52.9%","6761","52.7%","10760","57.9%","17521","55.9%","23805","50.4%","5.5pp"
"Invasion of Ulgrotha","B","U","116202","3.70","24278","4.87","111730","77.6%","53.2%","17789","51.5%","29487","56.0%","47276","54.3%","63706","52.3%","2.0pp"
"Invasion of Vryn","U","U","152182","5.02","28921","6.88","99019","56.8%","54.3%","16041","52.1%","25879","55.9%","41920","54.5%","56567","54.2%","0.3pp"
"Invasion of Xerex","WU","U","157172","5.45","26718","7.34","86988","53.7%","55.6%","13697","54.7%","20154","54.7%","33851","54.7%","53004","56.1%","-1.4pp"
"Invasion of Zendikar","G","U","92122","3.02","24516","3.71","121843","83.7%","53.2%","21055","55.8%","28862","53.3%","49917","54.3%","68353","52.1%","2.3pp"
"Iridescent Blademaster","G","C","379462","7.26","46736","10.36","113851","40.6%","53.0%","19824","52.4%","25289","52.7%","45113","52.5%","68534","53.2%","-0.7pp"
"Jegantha, the Wellspring","RG","R","22666","3.55","5414","4.30","8922","27.7%","51.4%","1453","49.1%","2270","52.8%","3723","51.4%","5248","51.1%","0.2pp"
"Jin-Gitaxias","U","M","7463","1.63","4525","1.60","23467","85.6%","55.1%","3902","55.3%","6307","57.1%","10209","56.4%","13201","54.1%","2.3pp"
"Jin-Gitaxias, Core Augur","U","M","12903","4.19","1599","6.17","1183","12.6%","44.5%","177","","283","","460","","726","46.1%",""
"Joyful Stormsculptor","UR","U","192736","6.11","31617","8.21","82366","43.5%","53.8%","13064","53.0%","21073","55.5%","34137","54.5%","48184","53.3%","1.2pp"
"Judith, the Scourge Diva","BR","R","21487","3.49","5500","4.13","22744","68.1%","55.2%","3886","58.7%","5881","59.3%","9767","59.1%","13033","52.2%","6.8pp"
"Jungle Hollow","","C","208259","5.42","37964","7.52","160931","70.6%","54.0%","29716","56.0%","37839","53.6%","67555","54.6%","90875","53.5%","1.2pp"
"Juri, Master of the Revue","BR","U","137569","6.02","22186","8.06","65639","49.8%","53.2%","11253","52.7%","16302","54.2%","27555","53.6%","38164","52.9%","0.7pp"
"Kaheera, the Orphanguard","WG","R","30508","4.62","3871","6.93","7024","30.7%","50.4%","1200","50.7%","1573","48.1%","2773","49.2%","4246","51.3%","-2.0pp"
