"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"The Belligerent","UR","R","17389","2.53","7943","2.54","36015","74.5%","55.3%","6044","56.9%","8661","55.8%","14705","56.2%","20792","54.6%","1.7pp"
"Caparocti Sunborn","WR","U","84741","3.74","23203","4.50","102896","72.6%","55.4%","17009","57.1%","23579","56.1%","40588","56.5%","62385","54.6%","1.9pp"
"Captain Storm, Cosmium Raider","UR","U","83102","3.92","28293","4.24","132383","74.9%","57.6%","23255","62.7%","30682","57.2%","53937","59.6%","75943","56.0%","3.6pp"
"Deepfathom Echo","UG","R","17356","2.60","7178","2.52","31343","71.4%","54.9%","5264","59.5%","8237","59.8%","13501","59.7%","17496","51.2%","8.5pp"
"Gishath, Sun's Avatar","WRG","M","8523","2.47","2254","2.61","7428","56.4%","51.3%","1114","49.0%","1704","52.8%","2818","51.3%","4521","50.9%","0.4pp"
"Itzquinth, Firstborn of Gishath","RG","U","78317","3.58","20718","4.08","99487","76.5%","58.5%","17441","60.1%","23290","62.0%","40731","61.2%","58114","56.5%","4.7pp"
"Kellan, Daring Traveler","W","R","13894","1.98","7782","1.94","40928","85.3%","56.9%","7424","62.3%","9750","57.2%","17174","59.4%","23637","55.0%","4.4pp"
"Kutzil, Malamet Exemplar","WG","U","104098","4.74","17985","6.22","59915","55.1%","54.5%","10243","57.0%","14198","56.4%","24441","56.7%","35216","53.0%","3.6pp"
"Master's Guide-Mural","WU","U","102780","3.74","30594","4.42","137399","73.5%","55.8%","22577","55.6%","35501","57.6%","58078","56.8%","76609","54.7%","2.1pp"
"Molten Collapse","BR","R","23292","3.27","5473","3.82","16836","51.7%","53.1%","2886","53.0%","4196","58.5%","7082","56.3%","9684","50.6%","5.7pp"
"The Mycotyrant","BG","M","8132","2.39","2594","2.45","9300","61.6%","50.6%","1635","50.0%","2378","54.4%","4013","52.6%","5214","49.2%","3.4pp"
"Nicanzil, Current Conductor","UG","U","112774","5.47","16423","7.50","39705","40.9%","51.7%","6914","54.8%","9894","51.3%","16808","52.7%","22560","51.0%","1.7pp"
"Palani's Hatcher","RG","R","11710","1.70","7832","1.63","43922","87.7%","59.7%","7456","67.8%","10556","67.3%","18012","67.5%","25523","53.9%","13.6pp"
"Quintorius Kand","WR","M","4429","1.24","3730","1.22","21112","90.5%","56.8%","3609","62.2%","5075","63.0%","8684","62.7%","12354","52.6%","10.1pp"
"Saheeli, the Sun's Brilliance","UR","M","7813","2.35","3475","2.35","14600","69.9%","54.6%","2544","53.9%","3522","55.1%","6066","54.6%","8469","54.5%","0.1pp"
"Sovereign Okinec Ahau","WG","M","7448","2.18","2896","2.14","11355","65.9%","52.9%","1901","57.0%","2758","52.8%","4659","54.5%","6640","51.7%","2.7pp"
"Squirming Emergence","BG","R","30644","4.26","4795","5.79","10019","35.8%","49.5%","1582","45.3%","2521","52.4%","4103","49.7%","5879","49.3%","0.4pp"
"Uchbenbak, the Great Mistake","UB","U","118633","5.36","18291","7.46","57107","52.4%","52.4%","9012","51.6%","15149","55.4%","24161","54.0%","32566","51.0%","3.0pp"
"Vito, Fanatic of Aclazotz","WB","M","6666","2.00","2922","1.87","11368","65.4%","52.3%","1904","57.0%","3087","58.1%","4991","57.7%","6353","47.7%","10.0pp"
"Wail of the Forgotten","UB","R","31839","4.26","6177","5.55","16189","43.7%","53.1%","2636","51.8%","4461","58.9%","7097","56.2%","8853","50.1%","6.2pp"
"Zoyowa Lava-Tongue","BR","U","110378","5.19","15919","7.19","44639","47.1%","52.0%","7717","53.5%","11045","54.2%","18762","53.9%","25800","50.5%","3.4pp"
"Buried Treasure","","C","387249","7.50","40714","11.05","48789","20.0%","50.3%","8532","47.2%","11003","50.1%","19535","48.8%","29032","51.4%","-2.6pp"
"Careening Mine Cart","","U","104754","4.17","23345","5.47","102991","73.1%","54.4%","17726","55.1%","23352","52.5%","41078","53.6%","61151","54.9%","-1.3pp"
"Cartographer's Companion","","C","370820","6.45","58006","9.15","175237","49.9%","53.8%","30309","51.3%","40206","53.4%","70515","52.5%","103288","54.6%","-2.2pp"
"Compass Gnome","","C","355488","5.96","55914","8.51","186011","55.2%","53.1%","34667","52.6%","40153","51.9%","74820","52.2%","109982","53.7%","-1.4pp"
"Contested Game Ball","","U","160759","9.07","18819","12.75","940","0.8%","49.1%","133","","197","","330","","610","52.6%",""
"Digsite Conservator","","U","119130","4.63","22105","6.48","92339","69.2%","54.2%","16605","52.6%","21017","54.3%","37622","53.5%","54037","54.5%","-1.0pp"
"Disruptor Wanderglyph","","C","401103","8.93","40542","12.80","11819","4.8%","50.0%","1840","48.2%","2760","48.0%","4600","48.1%","7116","51.1%","-3.0pp"
"Hoverstone Pilgrim","","U","145160","6.59","22113","9.22","48826","36.6%","53.1%","7793","50.7%","12382","55.4%","20175","53.6%","27910","52.4%","1.2pp"
"Hunter's Blowgun","","C","395074","8.46","38689","12.38","21043","9.0%","51.8%","3438","49.3%","4731","50.8%","8169","50.1%","12760","52.8%","-2.6pp"
"Matzalantli, the Great Door","","R","26332","3.66","4081","4.82","9216","38.8%","50.0%","1545","47.3%","2300","51.9%","3845","50.0%","5307","49.9%","0.2pp"
"The Millennium Calendar","","M","14751","4.14","2262","5.63","2533","19.1%","45.0%","465","","630","41.3%","1095","40.5%","1417","48.4%","-8.0pp"
"Roaming Throne","","R","9363","1.30","7195","1.28","42694","97.2%","55.5%","7202","57.7%","10523","57.3%","17725","57.4%","24506","54.0%","3.4pp"
"Scampering Surveyor","","U","84643","3.33","24681","4.18","127427","84.4%","55.6%","21973","56.8%","30241","57.3%","52214","57.1%","73864","54.4%","2.7pp"
"Sorcerous Spyglass","","U","160224","8.97","18114","12.73","213","0.2%","","32","","53","","85","","127","",""
"Sunbird Standard","","U","167891","6.15","22861","8.83","46220","33.5%","52.8%","8247","53.7%","10761","54.3%","19008","54.0%","26772","51.7%","2.3pp"
"Swashbuckler's Whip","","U","154931","7.99","17319","11.69","6753","6.4%","50.2%","1028","45.4%","1604","50.4%","2632","48.4%","4070","51.3%","-2.8pp"
